star_type,temperature,radius_km,distance_ls,distance_au,heat,pred_v82_power,error_v82,abs_error_v82,pred_v80_ergod,error_v80,abs_error_v80,improvement
G2,6016.0,806590.0,687.0,1.376753507014028,49.3,64.59465951718232,15.294659517182325,15.294659517182325,81.82892479674287,32.52892479674287,32.52892479674287,17.234265279560546
G2,6016.0,806590.0,900.0,1.8036072144288573,40.9,57.80219359481912,16.902193594819117,16.902193594819117,76.89607335354394,35.99607335354394,35.99607335354394,19.093879758724825
G2,6016.0,806590.0,1016.0,2.036072144288577,37.3,54.6062874224339,17.306287422433904,17.306287422433904,74.3358784192276,37.0358784192276,37.0358784192276,19.729590996793696
K7,4289.0,492894.0,18.0,0.0360721442885771,95.8,93.59764281020348,-2.2023571897965155,2.2023571897965155,97.31604483837816,1.5160448383781642,1.5160448383781642,-0.6863123514183513
K7,4289.0,492894.0,151.0,0.3026052104208417,69.6,62.19773492054969,-7.402265079450302,7.402265079450302,79.59406079501913,9.994060795019138,9.994060795019138,2.5917957155688356
K7,4289.0,492894.0,364.0,0.7294589178356713,43.1,38.79313679114277,-4.30686320885723,4.30686320885723,57.685056026667624,14.585056026667623,14.585056026667623,10.278192817810393
M2,3668.0,464873.0,28.0,0.0561122244488977,90.1,85.47227576952908,-4.627724230470918,4.627724230470918,87.849925399688,-2.25007460031199,2.25007460031199,-2.3776496301589276
M2,3668.0,464873.0,71.0,0.1422845691382765,76.5,69.25638219628814,-7.243617803711857,7.243617803711857,72.00194972810286,-4.498050271897142,4.498050271897142,-2.7455675318147144
M2,3668.0,464873.0,702.0,1.406813627254509,16.5,14.898979984830428,-1.6010200151695724,1.6010200151695724,3.886122211946505,-12.613877788053495,12.613877788053495,11.012857772883923
M2,3668.0,464873.0,1360.0,2.725450901803608,8.6,7.222032549951385,-1.3779674500486143,1.3779674500486143,0.18511400827140814,-8.41488599172859,8.41488599172859,7.036918541679976
M2,3668.0,464873.0,5979.0,11.98196392785571,1.9,1.141647443688426,-0.7583525563115738,0.7583525563115738,9.700162990821493e-11,-1.8999999999029982,1.8999999999029982,1.1416474435914243
M7,2768.0,181456.0,46.0,0.0921843687374749,39.7,40.32533333255893,0.6253333325589239,0.6253333325589239,37.09487486101985,-2.6051251389801493,2.6051251389801493,1.9797918064212254
K9,4002.0,524987.0,4837.0,9.693386773547092,2.8,2.3221231816909915,-0.4778768183090083,0.4778768183090083,0.024570438991541547,-2.7754295610084583,2.7754295610084583,2.29755274269945
K5,4608.0,660184.0,486.0,0.9739478957915833,47.7,44.66824762547366,-3.031752374526341,3.031752374526341,64.1872505719169,16.487250571916903,16.487250571916903,13.455498197390561
M2,1728.0,101552.0,217.0,0.4348697394789579,2.7,2.158428954529791,-0.5415710454702092,0.5415710454702092,2.37780006676497e-06,-2.6999976221999336,2.6999976221999336,2.1584265767297244
M2,1728.0,101552.0,1227.0,2.458917835671343,0.4,0.2214474417700432,-0.1785525582299567,0.1785525582299567,7.798560601155816e-42,-0.4,0.4,0.22144744177004333
K9,4029.0,549859.0,9.0,0.0180360721442885,97.0,96.53892567778666,-0.4610743222133351,0.4610743222133351,98.56029225080377,1.5602922508037693,1.5602922508037693,1.0992179285904342
K9,4029.0,549859.0,238.0,0.4769539078156312,50.6,48.87312014808874,-1.7268798519112636,1.7268798519112636,68.14789232383318,17.547892323833175,17.547892323833175,15.821012471921911
K9,4029.0,549859.0,1142.0,2.288577154308617,13.4,13.694865373630709,0.2948653736307065,0.2948653736307065,15.880039151704652,2.480039151704652,2.480039151704652,2.1851737780739455
K9,4029.0,549859.0,9522.0,19.08216432865732,1.6,1.055097043545401,-0.5449029564545991,0.5449029564545991,2.1711887588270063e-05,-1.5999782881124118,1.5999782881124118,1.0550753316578128
G8,5473.0,723802.0,890.0,1.783567134268537,40.2,45.789249179673696,5.589249179673693,5.589249179673693,66.99022092803534,26.79022092803534,26.79022092803534,21.200971748361646
G8,5473.0,723802.0,1436.0,2.8777555110220443,27.1,33.16998411180625,6.069984111806249,6.069984111806249,52.39288851167646,25.29288851167646,25.29288851167646,19.22290439987021
G8,5473.0,723802.0,1952.0,3.911823647294589,20.5,25.907741900373164,5.407741900373164,5.407741900373164,41.53345491437876,21.03345491437876,21.03345491437876,15.625713014005594
G8,5473.0,723802.0,3093.0,6.198396793587174,13.2,16.936598557863128,3.736598557863129,3.736598557863129,24.850823037342927,11.650823037342928,11.650823037342928,7.914224479479799
G8,5473.0,723802.0,5413.0,10.847695390781563,7.6,9.375559379309772,1.7755593793097724,1.7755593793097724,8.745758606593183,1.1457586065931835,1.1457586065931835,-0.6298007727165889
F4,7133.0,1075820.0,239.0,0.4789579158316633,91.3,88.43912833594173,-2.8608716640582657,2.8608716640582657,97.7584677399809,6.458467739980904,6.458467739980904,3.597596075922638
F4,7133.0,1075820.0,653.0,1.308617234468938,77.4,72.93261799088754,-4.46738200911247,4.46738200911247,93.99389356090069,16.593893560900682,16.593893560900682,12.126511551788212
F4,7133.0,1075820.0,842.0,1.687374749498998,71.7,67.2685008981874,-4.431499101812605,4.431499101812605,92.32382258482036,20.62382258482036,20.62382258482036,16.192323483007755
F4,7133.0,1075820.0,1784.0,3.5751503006012024,49.8,47.33628217286285,-2.4637178271371454,2.4637178271371454,84.43218952262725,34.63218952262726,34.63218952262726,32.16847169549011
