star_type,heat,predicted_heat,error,abs_error,pct_error
G2,49.3,58.29699480425333,8.996994804253333,8.996994804253333,18.249482361568628
G2,40.9,51.11981183820567,10.219811838205672,10.219811838205672,24.98731500783783
G2,37.3,47.82984343058106,10.52984343058106,10.52984343058106,28.230143245525635
K7,95.8,93.32424915037464,-2.4757508496253564,2.4757508496253564,2.584291074765508
K7,69.6,61.08571094874675,-8.514289051253243,8.514289051253243,12.233173924214432
K7,43.1,37.62639472329663,-5.473605276703374,5.473605276703374,12.699780224369778
M2,90.1,87.02947235817138,-3.070527641828619,3.070527641828619,3.407910812240421
M2,76.5,72.04673318114831,-4.453266818851688,4.453266818851688,5.821263815492403
M2,16.5,16.961522793280047,0.4615227932800465,0.4615227932800465,2.797107838060888
M2,8.6,8.37457651639385,-0.2254234836061499,0.2254234836061499,2.621203297745929
M2,1.9,1.3500828831020475,-0.5499171168979524,0.5499171168979524,28.943006152523814
M7,39.7,39.34875351322637,-0.3512464867736327,0.3512464867736327,0.884751855852979
K9,2.8,1.9360059755525485,-0.8639940244474513,0.8639940244474513,30.856929444551835
K5,47.7,39.98853802339089,-7.711461976609115,7.711461976609115,16.16658695305894
M2,2.7,2.302463948993283,-0.3975360510067172,0.3975360510067172,14.723557444693228
M2,0.4,0.2370210784355565,-0.1629789215644435,0.1629789215644435,40.74473039111087
K9,97.0,95.83693066865428,-1.1630693313457243,1.1630693313457243,1.1990405477790973
K9,50.6,43.684958349940665,-6.915041650059337,6.915041650059337,13.66609021750857
K9,13.4,11.176563135489989,-2.2234368645100115,2.2234368645100115,16.592812421716506
K9,1.6,0.8214869899987857,-0.7785130100012144,0.7785130100012144,48.6570631250759
G8,40.2,50.41519501607187,10.215195016071869,10.215195016071869,25.41093287580067
G8,27.1,37.533487634112745,10.433487634112744,10.433487634112744,38.49995436941972
G8,20.5,29.825867776343664,9.325867776343664,9.325867776343664,45.49203793338373
G8,13.2,19.96274582277908,6.762745822779081,6.762745822779081,51.232922899841526
G8,7.6,11.307729307244246,3.707729307244247,3.707729307244247,48.7859119374243
F4,91.3,87.47743333013838,-3.822566669861615,3.822566669861615,4.1868200108013305
F4,77.4,71.03532380285702,-6.364676197142984,6.364676197142984,8.223095861941838
F4,71.7,65.13333725915444,-6.566662740845558,6.566662740845558,9.158525440509843
F4,49.8,44.82552089765438,-4.974479102345619,4.974479102345619,9.988913860131765
F4,24.9,22.05895845516162,-2.8410415448383795,2.8410415448383795,11.409805400957348
M1,49.7,41.09833805736235,-8.601661942637655,8.601661942637655,17.307166886594878
M0,58.8,53.72026571509324,-5.079734284906756,5.079734284906756,8.639003885895844
M0,28.0,26.64930741149592,-1.3506925885040817,1.3506925885040817,4.823902101800292
M0,11.8,10.928052678492104,-0.8719473215078963,0.8719473215078963,7.389384080575392
M0,0.7,0.3336378544008553,-0.3663621455991446,0.3663621455991446,52.33744937130638
K6,96.7,94.48319012600692,-2.216809873993085,2.216809873993085,2.2924610899618254
K6,48.9,53.8757300054568,4.975730005456803,4.975730005456803,10.175316984574241
M2,73.9,73.85887940998151,-0.0411205900184938,0.0411205900184938,0.05564355888835426
M6,86.7,75.52074592608037,-11.179254073919637,11.179254073919637,12.894180016054943
M6,14.2,8.997545423819584,-5.202454576180415,5.202454576180415,36.63700405760856
M6,0.3,0.0748247462971689,-0.2251752537028311,0.2251752537028311,75.0584179009437
A8,99.5,99.48551114548162,-0.0144888545183761,0.0144888545183761,0.014561662832538794
A8,95.4,94.07096304154796,-1.3290369584520505,1.3290369584520505,1.3931205015220656
A8,81.2,77.90579065764207,-3.294209342357931,3.294209342357931,4.056908057091048
A8,66.9,64.1537057537478,-2.746294246252205,2.746294246252205,4.105073611737227
A8,64.3,61.78842847776627,-2.51157152223373,2.51157152223373,3.9060210299124885
A8,46.8,46.26683341658461,-0.5331665834153867,0.5331665834153867,1.139244836357664
A8,43.9,43.69469272957895,-0.2053072704210521,0.2053072704210521,0.46767031986572233
A8,34.7,35.11594199490688,0.4159419949068805,0.4159419949068805,1.1986801005961971
